"filename", "language", "TypeScript", "JSON with Comments", "Svelte", "JSON", "CSS", "Markdown", "JavaScript", "YAML", "comment", "blank", "total"
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\Stores\TaskCache.ts", "TypeScript", 135, 0, 0, 0, 0, 0, 0, 0, 23, 54, 212
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\Stores\TaskNavigationRecord.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\Suggest.ts", "TypeScript", 192, 0, 0, 0, 0, 0, 0, 0, 19, 39, 250
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\TaskDetails.ts", "TypeScript", 111, 0, 0, 0, 0, 0, 0, 0, 2, 15, 128
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\TimerTaskView.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\ButtonGroup.svelte", "Svelte", 0, 0, 66, 0, 0, 0, 0, 0, 0, 10, 76
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\Checkbox.svelte", "Svelte", 0, 0, 78, 0, 0, 0, 0, 0, 0, 13, 91
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\Editor.svelte", "Svelte", 0, 0, 82, 0, 0, 0, 0, 0, 0, 11, 93
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\MarkdownEditor.svelte", "Svelte", 0, 0, 142, 0, 0, 0, 0, 0, 2, 22, 166
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\Pickers\DuePicker.svelte", "Svelte", 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\Pickers\DurationPicker\DurationPicker.svelte", "Svelte", 0, 0, 118, 0, 0, 0, 0, 0, 1, 16, 135
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\Pickers\DurationPicker\Switcher.svelte", "Svelte", 0, 0, 137, 0, 0, 0, 0, 0, 1, 22, 160
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\Pickers\RepeatPicker.svelte", "Svelte", 0, 0, 162, 0, 0, 0, 0, 0, 1, 24, 187
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\Pickers\WeekDaysOfMonthSelector.svelte", "Svelte", 0, 0, 79, 0, 0, 0, 0, 0, 0, 9, 88
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\QueryTasksList.svelte", "Svelte", 0, 0, 46, 0, 0, 0, 0, 0, 0, 10, 56
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\SidebarTimer\PomodoroSessionProgress.svelte", "Svelte", 0, 0, 53, 0, 0, 0, 0, 0, 0, 8, 61
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\SidebarTimer\SidebarTimerTaskView.svelte", "Svelte", 0, 0, 35, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\SidebarTimer\Timer.svelte", "Svelte", 0, 0, 91, 0, 0, 0, 0, 0, 0, 13, 104
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\SidebarTimer\TimerView.svelte", "Svelte", 0, 0, 191, 0, 0, 0, 0, 0, 0, 27, 218
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\TaskDetails\TaskDetailsMainPanel.svelte", "Svelte", 0, 0, 148, 0, 0, 0, 0, 0, 0, 20, 168
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\TaskDetails\TaskDetailsNavigation.svelte", "Svelte", 0, 0, 61, 0, 0, 0, 0, 0, 0, 12, 73
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\TaskDetails\TaskDetailsSidebar.svelte", "Svelte", 0, 0, 222, 0, 0, 0, 0, 0, 0, 30, 252
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\TaskDetails\TaskDetailsSidebarProp.svelte", "Svelte", 0, 0, 94, 0, 0, 0, 0, 0, 0, 13, 107
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\TaskDetails\TaskDetailsSubtaskSection.svelte", "Svelte", 0, 0, 132, 0, 0, 0, 0, 0, 0, 15, 147
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\TaskDetails\TaskDetailsUI.svelte", "Svelte", 0, 0, 36, 0, 0, 0, 0, 0, 2, 8, 46
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\TaskPriorityStripe.svelte", "Svelte", 0, 0, 29, 0, 0, 0, 0, 0, 0, 7, 36
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\TaskTile\SubtasksExpansionBtn.svelte", "Svelte", 0, 0, 52, 0, 0, 0, 0, 0, 0, 7, 59
"c:\Users\tukam\Desktop\Development\.obsidian\plugins\taskmodoro-obsidian\src\UI\TaskTile\TaskTile.svelte", "Svelte", 0, 0, 289, 0, 0, 0, 0, 0, 0, 46, 335
